replicate_name	sample_name	read1	read2
158-2068_S61	158	158-2068_S61_R1_001.fastq.gz	158-2068_S61_R2_001.fastq.gz
158-E08_S55	158	158-E08_S55_R1_001.fastq.gz	158-E08_S55_R2_001.fastq.gz
159-2389_S45	159	159-2389_S45_R1_001.fastq.gz	159-2389_S45_R2_001.fastq.gz
159-2478_S45	159	159-2478_S45_R1_001.fastq.gz	159-2478_S45_R2_001.fastq.gz
159-D09-2537_S45	159	159-D09-2537_S45_R1_001.fastq.gz	159-D09-2537_S45_R2_001.fastq.gz
159-D09_S45	159	159-D09_S45_R1_001.fastq.gz	159-D09_S45_R2_001.fastq.gz
16-2389_S7	16	16-2389_S7_R1_001.fastq.gz	16-2389_S7_R2_001.fastq.gz
16-2478_S7	16	16-2478_S7_R1_001.fastq.gz	16-2478_S7_R2_001.fastq.gz
16-A07-2537_S7	16	16-A07-2537_S7_R1_001.fastq.gz	16-A07-2537_S7_R2_001.fastq.gz
16-A07_S7	16	16-A07_S7_R1_001.fastq.gz	16-A07_S7_R2_001.fastq.gz
160-2068-2_S69	160	160-2068-2_S69_R1_001.fastq.gz	160-2068-2_S69_R2_001.fastq.gz
160-2068-3_S68	160	160-2068-3_S68_R1_001.fastq.gz	160-2068-3_S68_R2_001.fastq.gz
160-2068_S69	160	160-2068_S69_R1_001.fastq.gz	160-2068_S69_R2_001.fastq.gz
160-E09_S56	160	160-E09_S56_R1_001.fastq.gz	160-E09_S56_R2_001.fastq.gz
161-2389_S46	161	161-2389_S46_R1_001.fastq.gz	161-2389_S46_R2_001.fastq.gz
161-2478_S46	161	161-2478_S46_R1_001.fastq.gz	161-2478_S46_R2_001.fastq.gz
161-D10-2537_S46	161	161-D10-2537_S46_R1_001.fastq.gz	161-D10-2537_S46_R2_001.fastq.gz
161-D10_S46	161	161-D10_S46_R1_001.fastq.gz	161-D10_S46_R2_001.fastq.gz
162-2383_S31	162	162-2383_S31_R1_001.fastq.gz	162-2383_S31_R2_001.fastq.gz
162-2536_S31	162	162-2536_S31_R1_001.fastq.gz	162-2536_S31_R2_001.fastq.gz
162-2543_S30	162	162-2543_S30_R1_001.fastq.gz	162-2543_S30_R2_001.fastq.gz
162-2607_S30	162	162-2607_S30_R1_001.fastq.gz	162-2607_S30_R2_001.fastq.gz
163-2383_S32	163	163-2383_S32_R1_001.fastq.gz	163-2383_S32_R2_001.fastq.gz
163-2536_S32	163	163-2536_S32_R1_001.fastq.gz	163-2536_S32_R2_001.fastq.gz
163-2543_S31	163	163-2543_S31_R1_001.fastq.gz	163-2543_S31_R2_001.fastq.gz
163-2607_S31	163	163-2607_S31_R1_001.fastq.gz	163-2607_S31_R2_001.fastq.gz
164-2389_S47	164	164-2389_S47_R1_001.fastq.gz	164-2389_S47_R2_001.fastq.gz
164-2478_S47	164	164-2478_S47_R1_001.fastq.gz	164-2478_S47_R2_001.fastq.gz
164-D11-2537_S47	164	164-D11-2537_S47_R1_001.fastq.gz	164-D11-2537_S47_R2_001.fastq.gz
164-D11_S47	164	164-D11_S47_R1_001.fastq.gz	164-D11_S47_R2_001.fastq.gz
